name,year,rating,metascore,num_votes
Rajkumari,1955,,,
Sau Ka Note,1955,,,
Ratnaghar,1955,,,
Ratna Manjari,1955,,,
Chirag-e-Cheen,1955,,,
Shree Krishna Bhakti,1955,,,
Society,1955,,,
Shri Nagad Narayan,1955,,,
Miss Coca Cola,1955,,,
Mast Qalandar,1955,,,
Sakhi Lutera,1955,,,
Ghar Ghar Mein Diwali,1955,,,
Ekadashi,1955,,,
Lagan,1955,,,
Jagadguru Shankaracharya,1955,,,
Albeli,1955,,,
Sati Madalasa,1955,,,
Oonchi Haveli,1955,,,
Mastani,1955,,,
Ghamand,1955,,,
Shikar,1955,,,
Lutera,1955,,,
Teen Bhai,1955,,,
Madh Bhare Nain,1955,,,
Ganga Maiyya,1955,,,
Aaj Ki Baat,1955,,,
Amar Saigal,1955,,,
Shahi Mehmaan,1955,,,
Pyaara Dushman,1955,,,
Joru Ka Bhai,1955,,,
Hoor-E-Arab,1955,,,
Haseena,1955,,,
Teerandaz,1955,,,
Rukhsana,1955,,,
Sitara,1955,,,
Jashan,1955,,,
Stay Alert,1956,8.3,,879.0
C.I.D.,1956,7.3,,629.0
Chori Chori,1956,7.8,,466.0
Funtoosh,1956,7.3,,74.0
New Delhi,1956,7.4,,62.0
Toofan Aur Deeya,1956,6.7,,59.0
Ek-Hi-Rasta,1956,6.9,,52.0
Pocket Maar,1956,7.3,,39.0
Mem Sahib,1956,7.2,,36.0
Halaku,1956,6.8,,36.0
Basant Bahar,1956,7.1,,31.0
Shirin Farhad,1956,7.2,,30.0
Ham Sab Chor Hain,1956,6.4,,28.0
Parivar,1956,7.4,,21.0
Rangin Raaten,1956,7.2,,20.0
Bhagam Bhag,1956,5.8,,20.0
Hatimtai,1956,6.8,,17.0
Bhai-Bhai,1956,5.8,,15.0
Raj Hath,1956,6.3,,15.0
Devta,1956,5.6,,15.0
Heer,1956,4.8,,12.0
Naya Andaz,1956,5.8,,12.0
Paisa Hi Paisa,1956,6.5,,11.0
Sheikh Chilli,1956,5.4,,9.0
Ek Shola,1956,4.4,,9.0
Kismet Ka Khel,1956,6.0,,9.0
Chhoo Mantar,1956,6.1,,9.0
Some Where in Delhi,1956,5.1,,9.0
Baghdad Ka Jadu,1956,4.6,,8.0
Durgesh Nandini,1956,6.5,,8.0
Sailaab,1956,7.6,,8.0
Bajrang Bali,1956,6.6,,7.0
Aawaz,1956,5.1,,7.0
26 January,1956,6.6,,7.0
Bal Ramayan,1956,6.1,,7.0
Taj,1956,6.6,,7.0
Shatranj,1956,6.7,,6.0
Khul Ja Sim Sim,1956,5.6,,5.0
Samundari Daku,1956,6.4,,5.0
Ghulam Begum Badshah,1956,6.6,,5.0
Aan Baan,1956,2.8,,5.0
Bandhan,1956,6.2,,5.0
Lalu-Ustad,1956,,,
Zarina,1956,,,
Kya Baat Hain,1956,,,
Do Shehzaade,1956,,,
Sultan - E- Alam,1956,,,
26th January,1956,,,
Yahudi Ki Beti,1956,,,
Naqab Posh,1956,,,
Lal E Yaman,1956,,,
Jallad,1956,,,
Indra Sabha,1956,,,
Indra Leela,1956,,,
Husn Banu,1956,,,
Jaldeep,1956,,,
Gul-E-Begum Badshah,1956,,,
Bharti,1956,,,
Dayar-E-Habib,1956,,,
Basre Ki Hoor,1956,,,
Astik,1956,,,
